epoch,train_loss,val_loss,val_pr_auc
1,0.8883967457359396,0.8127844929695129,0.6628127513476813
2,0.7554985462075586,0.7387905120849609,0.6799454413544239
3,0.7244796553749588,0.7248477935791016,0.6860041878870758
4,0.7204365763648312,0.7202292084693909,0.6859770137357722
5,0.7079970563762668,0.7198923826217651,0.6849422665526761
6,0.7152049887548811,0.7211380004882812,0.6855652975285771
7,0.7035308185476209,0.725222110748291,0.6834939066513444
8,0.7037148864048167,0.7255465984344482,0.6831366959786428
9,0.7065356095432738,0.7275773882865906,0.6824781752066253
10,0.6941309817751548,0.7257689237594604,0.6827081371888036
11,0.6969904690956014,0.7221008539199829,0.6829429726001783
12,0.6955141476919577,0.7222377061843872,0.6820049031676546
13,0.6965595325431728,0.7240347862243652,0.6806587910811153
14,0.688867483870029,0.7198543548583984,0.6816129764435892
15,0.6950044110604098,0.7233970165252686,0.6796987773401831
16,0.6847658506411757,0.7242517471313477,0.6789470346368226
17,0.6886869835773904,0.7248337268829346,0.6766336631329816
18,0.6774556604443537,0.7261191606521606,0.6767084450113374
19,0.6845759717045771,0.7303100824356079,0.6759648332690407
20,0.6774545950797964,0.724564254283905,0.6745119045903691
21,0.673261619052393,0.7250725626945496,0.6709596214934263
22,0.6797593511833981,0.7248467206954956,0.6722482927518545
23,0.6836045043311123,0.7258883714675903,0.6769338082784475
